employeeId 员工编号 C0103
name 姓名 A0101
gender 性别 A0107
nation 民族 A0121
hometown 籍贯 A0114
hometownDescription 籍贯（描述） E0124
birthday 出生日期 A0111
age 年龄 E0141
politicalStatus 政治面貌 C0116
eduBackground 学历 null
degree 学位 null
specialty 专业 null
socialSecurityId 社保号 C0114
socialSecurityStatus 社保状态 C0128
marryStatus 婚姻状况 A0127
idNum 身份证号 A0177
idAddress 身份证地址 C0104
hukouType 户籍类别 A0174
hukouAddress 户籍所在地址 C0129
currentAddress 家庭现居地 C0101
childCnt 子女数量 null
homePhone 家庭电话 X0101
qq QQ null
wechat 微信 null
telephone 移动电话 G0106
email 电子邮箱 C0124
jobLevel1 职务级别1 C0106
jobLevel1Date 职务级别1评定时间 null
jobLevel2 职务级别2 null
jobLevel2Date 职务级别2评定时间 null
languageSkill 外语语种和证书 null
computerSkill 计算机水平 null
jobCertName 职称资格证书 null
hasCrime 是否有犯罪记录 null
hobby 爱好特长 null
prize 曾获奖励 null
hasFamilyDisease 是否有家庭病史 null
hasIllness 是否曾患重病或动重大手术 null
archivesId 档案编号 A8505
archivesInDate 档案转入时间 A8515
company 单位 B0001
department 部门 B0002
workPositon 岗位 C0132
jobPosition 集团内任职 C0118
type 人员类别 C0121
workDate 参加工作时间 A0141
workAge 连续工龄 A0151
groupDate 到后勤集团时间 A0144
departmentDate 进入本中心时间 null
contact1 紧急联系人1 X0102
contact1Relation 紧急联系人1与本人关系 C0123
contact1Phone 紧急联系人1电话 C0102
contact2 紧急联系人2 null
contact2Relation 紧急联系人2与本人关系 null
contact2Phone 紧急联系人2电话 null
notes 备注 C0108
identity 个人身份 A0131
schoolDate 入校时间 C0127
schoolAge 校龄 C0136
partyDate 入党时间 C0117
regularizedDate 转正时间 E0340
workLimit 工作年限 A0152
workPositionLimit 在当前岗位任职年限 W0104
pinyongFrom 人员录聘用来源 E0104
employmentForm 用工形式 A0154
laborContractType 劳动合同制用人形式 A0155
treatmentLevel 享受待遇级别 A0167
oldCompany 原单位 C0111
oldCompanyYears 原单位任职时间 C0112
jobStatus 在职状况 C0120
transferStatus 调出状况 C0134
transferDate 调出时间 C0138
leaveStatus 离职状况 C0133
leaveDate 离职时间 C0105
dieStatus 死亡状况 C0135
dieDate 死亡时间 null
isRehire 是否退休返聘 null
rehireDate 退休返聘时间 null
sheetDate 填表时间 C0137
